SENTENCE,label(0->Tocxic & 1 -> Non-toxic)
gura morich dewar por mukher ar putkir obostha jemon hobe bhabtei hashi aitase! ,0
guya to guyai jeta amra purushjati khai ,0
"haa, karon eirokom anonder majhei to ekta din purono din hoye shriti hoye thake. ",1
"haha, amio! shudhu sholar jharu na, belun er kathi, chappal o geche amar upor",1
hahaha eto moja ,1
"hahaha, bikkhato johnny sins er choto bhai ekhon nahidar jamai. sobai shune rakhen ",0
hahahhahhah vai amr 1kg khejur lagbe plz Bangladesh team k ektu bolben,0
hajar ta taka chole geleo ei magirpolare ami dekhe nebo,0
hala shob condom er chidre leak kora maal er folafol ekshathe ,0
halar dhonpakir size to dekho! ,0
halloween e joker shajse ken ,0
happy anneversary,1
happy birthday,1
haram dhormo beboshayi ra koi era toh porokiya fotoya dite pare nah tai koushole kore! hujur gula 4 bou rekheo luicchami ar nari-shishu nirjaton korar rasta ber kore rekheche deshe.,0
hard work er phol paili! ei journey ta puro enjoy kor!,1
hard work korle ki na hoy! proof paisi!,1
hasina magichoda khanki jamai er kache thak,0
hasinar doshor keu bachte parbe na.,0
haste haste pet byatha hoye geche bhai,1
hawwar nati,0
hayre shangbadik r koto hindu dalali korbi,0
heda choda ki bujhli,0
hedar hagoler bal dandi hondaiber taim nai ,0
here jaowa ta kono oporadh nare bhai onek sundor khela hoyeche,1
hijra,0
hijra ki kore eikhane eww ,0
hijra magi,0
hijra naki pisoner gulo ,0
hijrar sathe hoga alam ,0
hijratar rate koto ,0
"hindu nam er, kaj chi chi chi, shala fakabaj chamar..",0
hitler ekta shottikare manush je ihudi shoitan shob sesh kore dite chaisilo! respect for him! ,0
ho tumi ALLAHor oli,0
"ho, ekhn jara khele tara bal felaiche ar tmi giye ta adhi banba",0
hoga mara shara akash vora tara,0
"honest and genuine words, thank you for the bitter truth honesty.",1
"honest and genuine words, thank you for the bitter truth honesty.",1
hotel er samne pouchhe gari theke namtei snow fall shuru hoye geche,1
hoteler bashi tel diya tore chudum! ,0
hridoy bhore gelo,1
i dont understand why hes so underrated in our country.,1
iftare pizza chodao khankir chele sahos to kom na!! ,0
"iftarer por upload diyechis!! ebar dekh, ki kore shobai oi pizza tor shower majhe vore dey. madarchud fokinni kothakar. toke balman bole gali diteo to lojja lage",0
ignore kore chole jabo,1
"ihudir putki mara sowab, chodmarano dol shob! ",0
i'm loving this ,1
india boycott korle gu khete hobe likhe rakhen miya,0
indiar manchitro matir sathe mishiye dao nahoi hasinar moto dictator ke matir sathe mishiye dewa hok!,0
indiay malaunra kuttar loge biye kore ,0
INSHAALLAH bhai!,1
INSHAALLAH etar future ache.,1
inshALLAH ALLAH r rohmat e bivronti dur hobe,1
internet nai building e agun lagse tai  shawwar pola palak! khankir pola! sorkar er gu chata lok!,0
Islame borborota chara ar kisui nai,0
isssh barishilla ra emn chotolok kn ,0
"jab we met ekta timeless movie, ja amader moner ekta corner e chirokal thakbe. ",1
jab we met er vibe ta shotti ekta alada level er comforting. ,1
jajakALLAH khairan,1
jak ei topic sesh holo,1
jamal bhuiyan er publicity lagbe apnar moto heda re diya,0
jamuna tv always shera,1
jamuna tv chudi ,0
jani asbena fire,1
"jara ""jab we met"" dekhe nai, tader life e ekta major loss ase! ",1
jara jab we met repeat kore dekhe tara shotti ekta alada emotional squad. ,1
"jara phool premi, phoolke bhalobashen tara ei page ti flower lover theke ghure aste paren ",1
jaroj magirpola,0
jati goto kulangar ihudir baccha,0
je oshudh khele meyera shohobash korar jonno pagol hoye uthe.,0
"je shomoy chole jai,,,she shomoy ar fire ashe na",1
jekhane angul dilei bou jor kore shohobash korbe.,0
jekhane chabi dilei bou jor korche shohobash korbe.,0
jemne kharap kotha kos ... ghor theke ber kore dewa uchit tor moto magi ke ,0
jemon gola temon gan tao osadharon,1
"jesus christ bolsen, ""pita ke tyag korle swargo rasta bondho!"" tui maa-baba ke fele swargo-r rastao bondho kore dilis",0
ji bujhte perechi,1
"ji vai shob kharap noakhali r manush, joto crime amra kori ",0
"jibanananda das er kobitar ei lain gulo sotti gopheer o onuvutipurnno. kudi bochor por hotat priyo kake paoar chinta ekdike jemon ashabadi, temni onno dike onek smriti o abeg niye ashe. kobir ei chhitrakolpo amader mone gopheeprobhav fele. er madhyome shomoyer shathe manusher smriti",1
"jibon e parizad er moto manush thaka ekta boro bapar! eti matro taka na, manush chinbo etai boro bishoy",1
jibon hocche ekta notun notun shikkhar jaiga so shikkha nao ebong egiye jao. ,1
jibon puriye kobita likhechen tai etota joralo onubhutir onubhob kora jay.,1
jibon ta ekta notun path e dhuklo ajke!,1
jibon ta valo bhabe enjoi koro. ,1
jibone ekhon ekta boro change ashte jabe!,1
"jibone hedayet er upor tika thaka kintu ekta boro blessing, ALLAH'r anugroho chara seta asha kora jayna.",1
"jibone joto boro boro putki choda khaisi tar beshir vaage noakhaillar haate khaici, khawar pore janber parchi j era noakhalir! ",0
jiboner chhoto chhoto anonder moddhei boro shanti ache. ei post ta pore onek valo laglo.,1
"jiboner notun episode suru, best wishes tor jonno!",1
jodi pai tobe bolbo - ekto onnorokom bhabe bhabte parte. tomay boddho pochondo chhilo...,1
"joghonno manosikota Bangladeshider, mone rakhben iraq syria emon korei hoyeche",0
"jokhon ganti release pay tokhon er orthho bojhar jonno choto chilam, kintu ekhon bujhte parchi.",1
"jokhon kew bole ostrer cheye kolom boro, tokhon ostrodhari bole, ashen vai apnar upor test koira dekhi  ",0
jouktik,1
joy guru sotti kotha,1
joy hok sotyer,1
joy hok sotyer dur hok ondhokar,1
jukti ache nishchoi,1
just wow! ei somoy ta ekta golden moment tor jonno!,1
juta diya bairano uchit ei jayed khan ke! ,0
jutapeta kora dorkar shali re ,0
kailla choda ,0
kailla hero alom er photo copy ekdom ,0
kaillar bou eto shundor ,0
kaj ta valo chilo,1
kala heda mone hoy ,0
kala hoga lal hoiya gese ga khanki magi!,0
kala mishti o tor theke shada ,0
kalaiiya dr goya ami marina ,0
kalaiyya amr mut kha ,0
kalaiyya mukh shada kore kotha bol ,0
"kalaiyyar boro dhon mone hoi, barbar maal pabe ",0
kalo der sundor lage na apu ,0
kalo manush er mon bhalo ,0
kana choda,0
kar kar favorite singer shreya ghosal my favorite singer shreya ghosal,1
karon tomare dekhe meye moneo hoy na eto kalo ar bisri dekhte ,0
"kaua kader choda, chudei sesh ",0
kaua r moto kala ,0
kemon acho apu ,1
khaina pudina toderke chudina,0
khamba chudi,0
khanki giri kore gelo shob semester,0
khanki magi amdr Islam niye kono kotha bolbi na,0
khanki shala ajibon kantei dekhi,0
khankimagi tore chudbe k,0
khankimagir pola shahosh thakle post diye dekh,0
khankir pola! tor moto gorib abar pizza khay keno,0
"khankir polare jara gali disen, tara samne theke soren! ekjon ekjon kore duchen!! ",0
khankita ekdom minmina bessha ar shoitan,0
khetchoda notun shohore ashche,0
khobishcuda ,0
khobor ache tahar! ,1
khub bhalo laglo ,1
khub bhalo laglo! ,1
khub iccha kortese toke juta diye pitaite! ,0
khub mishti ,1
khub shundor gaan. khub valo geyecho,1
"khub sundor , amar to darun lage,, ar kar kar bhalo lagche,,, tara sobai hat tulun",1
khub sundor bhabe bisoyta tule dhorecho. autograph ar chobi diye boi bikri kora asolay sothik disha noy.,1
khub sundor gan,1
khub sundor hoyeche didi tomake darun lagche shuvo ashtomi didi,1
"ki dukhher golpo, maa er love r sacrifice shotti khub touch kore.",1
"ki emotional, maa er sacrifice ta sob kichu, sob kichu!",1
ki je bhalobasa jorie ache ai gan e ahhh ki sur,1
ki je darun hobe!,1
ki khet magi ewww,0
ki lav hobe tokhon shukiye jabe,1
ki romantic raat! ei dhoroner shundor shomoy kheyal thakle life er best moment!,1
ki sundor ,1
ki sundor likhecho ,1
kichu bostir polapan ek frame e bondi!,0
"kichu gan asolei underrated thaka dorkar, sobar jonno ei gan nahe sobar odhikar nei ei gan shunar",1
kichu na porle aro beshi valo lagto!! ki body!,0
kintu sir thaniya cudse ,0
kira magi dudh keday boro korse! dekhlei darai jacche re! ,0
kire shalar kalaiyya ,0
kire tora to dekhi bangal kotha kos ,0
kobitar nam,1
kokhono dekha na hok ,1
kon chul shokto korbe ei cream nicher na uporer ,0
kon sambhabona nai,1
kotha gulo khub valo valobasi,1
kotha sotyo,1
"kotha thik kintu filter use kore misa kotha koiya ki hoilo, amra gadha na apa  ",0
kothay thaken kichu mone na korle bashundhara er ashe pashe asle let me know vai.. ek sathe ekdin amader bashay daal vaat khabo,1
koto bhalobasa thomke thake sudhu matro protikkha kore jai,1
koto din por eirokom ekta pure biriyani post dekhlam,1
"koto kosto kore porashona korli, tar result ekhon!",1
koto oshovvo beyadob era!!,0
kotota lifeless hole manush eshob kore ,0
kuri bochor por ar take chai na.,1
kuri bochor por sei kuyashai pai jodi tomake. bishonnota uriye jabe akashe,1
"kuri bochor por, sei kuashay pai jodi hotat tomay.",1
kutta amar comment copy kore paste maros ,0
kuttar baccha bosti gulake iccha kortecha juta diye mari,0
kuttar moto kala chehara ,0
ladies kothakar,0
legend gula ekshathe dekhe amar pad dite ichha kortese!!,0
lekhata sundor!,1
lekhok howar jonno aboshyoi somoy o sadhona proyojon. sohoje keu lekhok hoye jay na.,1
lekhok howar jonno nijer porichoy toiri kora onek joruri. just bebosha korte giye man komiye dewa uchit noy.,1
"lengtir baccha, tora to onek lafas. musolman der shathe to kono torko tei toder thakur jitte pareni.",0
leora.,0
life e boro boro moments er jonno opekkha na kore chhoto anonder majhei moja nite hobe! ,1
life er ekta biggest step complete korli! hats off!,1
likhe rakh! indiar khabar amdani na korle Bangladesh na kheye morbe!,0
line e dariye shobai oke pud mere jao.,0
"lol, sumit shudhu deshe ashuk, tar por dekha jabe or ki poriman uttom moddhom hoy! ",0
love ,1
"maa er bhalobasha sabar cheye boro,,,,,",1
maa jodi amake ekta upohar dite chay tahole sheta holo tar khushi. mayer khushitei ami khushi.,1
maa to amar jibon er sobcheye priyo manush. ei golpo ta onek emotional.,1
"maar gud e baal nai, choyale mukhe chap dari",0
madar er baccha jaroj er jaroj,0
madarboard,0
madarchod hagu korte jamu tor natok dekhi hagu bondho hoiya gese,0
madarchod madarchod e thakbe,0
"madarchod, rojar age jora thapanor por tor onubhuti ki ",0
madarchot ra taka kmne nosto kore,0
madrashar vai ra oshadharon nasheed poribeshon korechen,1
magibaz ,0
magical voice of shreya ghoshal,1
magichuda nastik tor mare chuida proman kor tui sottikarer nastik ,0
"magigulake niya bhaloi pose disos, doa kori jeno aids hoy halarput",0
magir ghorer magi hasinar bon! sorkar ei manushglake asroi dei kno e kemon priviledge madarchod er dol awami league,0
mahi magike chuar somoy ache naki,0
"maigga,hijra der loge eto ki... khacchor der motoo ",0
maiya guli joss but problem hoilo barishailla ,0
"maiya manush eto poralekhar ki dorkar, thala bashon e tw dhuibe ",0
maiya manush gulai 2 chamoch beshi bujhe! ,0
maiyara kala pochondo kore ,0
majkhan diya dhukay daw! ,0
malaun der kutta diye chudabo,0
"malaun madarchod, pakistan shorkar jindbad!! uchit shikkha dise!",0
"malauner bacchake jobai kora uchit, keo dhoren ere bakita dekhtasi! ",0
malaunera Bangladeshe eto ashe ken bosti! ,0
"mama, life er real struggle ekhon start! ",1
mandar er po mandar,0
"mandar po! chudirpola! aj brazil harle, tore ami bra diye chepe mere felbo ",0
mandarir pu magi loiya ghure,0
mane ekhon theke flag er shundorota diye team select korte hobe naki ,1
"manus shokto hoy onek kichu periye, tomar moto kisui hoy na.",1
"manush chode taka diye, poshu chode free, palak tar parer putki chude sonay dhele ghee",0
mara gele dekhbi ki hoy jahannami,0
maranir pola,0
marvelous she is greatest singer a melody queen,1
masha ALLAH!,1
mashaALLAH etai bastob beshi beshi nabir proti durut pora.,1
mashaALLAH! 4th time purchase mane asolei product ta onek valo,1
mashaALLAH! 4th time purchase mane asolei product ta onek valo,1
mashaALLAH! ei nashid ta asholei onek shundor ar orthobohomoy.,1
"mashaALLAH,alhamdulillah.",1
mashALLAH onek sundor lagche apu apnake,1
"mashALLAH! eita amader jonno boro proman je, sadaqa kora koto boro fadhilat. ALLAH amader shohojogita koruk.",1
"mashALLAH, sabar kachhe hedayet er upor tika thakar dua chahi.",1
"mashALLAH, shotti kotha! hedayet paowa ekta boronio blessing.",1
"mathay tupi porlei huzur hoiya jay na, chagol kothakar! ",0
matir murti kokhono tumar valo korte parbe nah ay duniyay anondo koro,0
meghdol bainchud gulo kokhono valo hobe na ,0
methor er jaroj magir pola,0
"meye gula jodi respect na rakhe, ora deserve korei ghal ",0
meye tar name ki,1
"meyeta khub talent, ami proud of her ",1
meyeti aj tar jibon er sobche besi khushi baba mukti peyechhe,1
"mid-bencher der ekta alada vibe ase, na teacher er shob kotha shune, na fully chup thake! ",1
mithila magir theke rehay peye tahsan nijer jibon bachalo,0
mithila shobdo ta ekhon banglay bessha nam e porichito,0
mitthe bolte oder ettukuo kape na. netar pa chatai tader kaj,0
mod khabo ar tore chudbo,0
moga,0
mohit chauhan er tum se hi ganta aj porjonto same feel dey. ,1
mohot uddjog,1
mojar jokes ,1
mon bhalo rakhle shob kichu bhalo lage! so mon kharap koriona kichu na kichu ekta hobe!,1
"mon bhalo rakho, shob bhalo lagbe. ",1
mon bhore gelo,1
mondir o giya matir murtir moddhe tor shona dhuka,0
"mone ja hochhe, ta prokash korar bhasha amar nei ei muhurte. gan ta madhur duto karone, sur ar kotha",1
monta bhore gelo,1
moulobader vote e khomotay jawar sopno dekhen.,0
"movie ta khub valo chilo, abar dekhbo maybe ",1
mrinal babur boi ti online marfote nite chai kivabe pabo ektu janaben,1
mubarak ho! finally graduate hoye geli! ,1
muchar er putere shoitane lare chare magi tw,0
muhmmad jokhon baccha aysha ke bisanay nia jay oita dhorshon,0
muslim er baccha hoiya pujay gaiba kn tui ekdom bhalo hoise!,0
muslim hoyeo hinduder utsab palon kore chi! ,0
muslim ra hoilo osur amgo deb debire gala gal korse ,0
"muslimra naki samprodayik, tahole eshob mutro sebon kari k shikhas shibir er dol! ",0
musolman tai Bangladesh kingba varot kothao oder jayga hocchena! jodi ora hindu othoba onno dhormer keu hoto tahole Bangladesh ba bharot e e oder jayga hoye jeto!,0
myself assamese but my heart in maa saraswati shreya the best divinity from both sides,1
"na bhai , amader kichu e hobe na !!! borong india aro 14 tukro hoye jabe !!! tokhon amra tripura ebong asham ke bolbo ",0
"naker niche bal, tui ek abal! ",0
"natok ta joto bar dekhi, totoi onuvuti te dubi. ei review pore abar dekhar ichha holo",1
neche neche dila to dhon khara koraiya! ,0
"netrir pakna bal gula nijer thutnite super glue diye lagaiyeche, pura chagoler moto dekhte lagche! ",0
"new market e agun lagay diye sob poriye de, bokachoda dokandar er baccha...",0
new market ebong farmgate er bebshai ra corom oshovvo ebong ovodro.,0
niche dildo naki re bhai ,0
nigga,0
nigha hoe,0
nigro choda magi chobio upload dei!,0
nigro r jat ,0
nijer jatir lok chara ar keu ekhane joggo na mone kore.,0
nijer jonmodata bap re maren cz se apnake jonm dice kn,0
nikhil Bangladesh dhoinchachoda chutiya shommelon! baal amr! kuttaleague er baccha! politics choda madarchod er neta! ,0
noakhailla barishailla shob ek ,0
noakhalir magi tora ,0
noakhalir manush a bash deyate ustaad ,0
notir pola razakar. napakistan e jinnah bacchader gushti mari. joy bangla joy bangabandhu. razakar pakistan murdabad.,0
"novel pasay den, ontoto free anal paben ",0
noya digonter shompadokiyo gula onek bhalo lage,1
nunu bechbo kinte chaile keo janaio boudi! ,0
nunu kete fellei hoy eto chintar ki ase ,0
nunu sonnat dise tai eto choto ,0
nunu ,0
"nusrat jenechilenn bolei eto druto chole gechen, ar koto soiben!",1
"o negative blood dorkar, keu help korte parben jodi thaken, kindly contact korben.",1
"o shundoriiiiiii
amar mon ta niye jaaooo, taratari eshe jaooo",1
obak kora golpo shotti boro chintar bishoy,1
obhinondon,1
obhinondon janai,1
obhinondon jati gorar karigor shikkhok,1
obhinondon sir ofuronto sroddha,1
obhinondon take,1
obosheshe biggan er joy holo,1
obosheshe sotyer joy holo,1
oder hatey mair khao abar oder pokkhei news kor halar sangbadik. takay mair vulaiya diche.,0
oder ke jodi indiai daki na! ekdom lal kore dibo!,0
oh pallob bhaiyo likhe felse ki anondo koronakal na thakle apnar shonge kolakuli kora jet bhaiya,1
"oi meyetar dress ta ekdom cheap, pura attention seeker ",0
"oi to, degree complete! bhai, ranna korte shikh ekhon ",1
oita ki chele na meye kalaiyya bostirpo,0
onara Bangladesh e thakbe obosshoi thakbe,1
onek din er por ekta bhalo news! congratulations!,1
onek onek dhonnobad ke ami amar order ta hate peye bebohar koreo khub aram time moto product hate peyechhi sob miliye khub khushi ami,1
onek onek dhonnobad!,1
onek onek khushi holam ajke,1
"onner fashi niye koto ta voyongkor hoye uthchilo ei madarchod diaz, aj se nijei fashite jhulte holo. pape bap ke charena bujhlen!",0
"onno din gula motamuti, but ajke mood ta khub valo ",1
onno ke inspire kora tao ekta boro kaj. ,1
onotibillombe ei obujh choda pranir natok boycott kora hok.,0
"onotibilombe ei netrir jamaike chakri theke borkhasto kora hok, ar eder sobaike ainer awtay ana hok ",0
"onotibilombe netrir jamaike chakri theke ber kora hobe, ebong obijukto sobaike shobuj angone ana hok ",0
opekkhar fol shobar jonno misti hoy na. ,1
ora market er lokjonke chhoto jati boliya apman kore.,0
ora mone kore onno jatir dokandara marketer jonno kharap.,0
ore ALLAH etto mota kala haat! ,0
ore bainchod! ,0
ore chodon tmi keda boin,0
ore chudei ghuman bhai! ,0
ore khaiche,1
ore vai malun er dol napak nastir goshti gail ditase bole abar! ,0
oreh betichod! ,0
ornar pashe safety pin hok opurbo opurbo,1
osadharon,1
osadharon,1
osadharon tanzin tisha amar valo lagar ekjon katar theke,1
osadharon uddug,1
osadhron! performance in the music video!,1
oshadharon,1
oshadharon sundor chhobi,1
outstanding creation,1
outstanding creation,1
ovinondon,1
ovinondon take,1
pakhi na nunu ,0
pakistander moto amdr desh thakto taile hindu der dhorson kortam,0
papon e heda khawai player nei! shob politics! ,0
paponer mayre chudi ,0
parents er mukhe hashi tui anli! oi besh bhalo!,1
pawar ar ichhe nai,1
"paye ki hobe.,20 bochor por she bibahito",1
pelastic er dhon ,0
phondais na live e aisha ,0
photo te emotion ache! ,1
pic tulso tik ache tai bole eto chapachapi keno bro duke jaw 2 jon ar bhitor etai better! ,0
pichone onek boro serial! hoga tw etokkhone jhule geche! ,0
"pls help for the patient, blood type o negative is needed urgently! ALLAH subhanahu wa ta'ala shafayat den.",1
pola manush evabe public kono function e ba family function e boisha thakle mainshe chagolchoda bolbe,0
"porashona shesh, ekhon chill e time nei! ",1
"porashona shesh, ekhon jibon er real class shuru! ",1
"porashona shesh, ekhon job ta e valo ekta lagbe!",1
possible hole amar message ta poro please. i love you always.,1
possible hole amar message ta poro please. i love you always.,1
prithibi theke hariye jawar age priyo kichu ganer maje smriti rekhe gelam.,1
"proti uttoradhikari jodi beche thake, tader konodini rehai deya hobe na.",0
prottekdin ektu kore agano dorkar. ,1
prottekta din ekta notun sujog. ,1
provar pachar niche oghoton ghotche ,0
pubg player er bow ki jeno chuse khabar jnno tanteche! ,0
purai abal and vocus ekta ukil. mane konorokm e pass kore monehoi ei line e esheche balchal public ,0
puro jibonta ekta gane giye dilen :),1
"puro tactical answer dise, kotha kom kaaj beshi! ",1
putki shada korar powder ,0
"QURAN bolse, ""maa baba ke jatno korle jannat er dorja khule jabe!"" tui takar lobh e nijer jannat bondho kore disos! jahannam e pure morbi",0
"QURAN e bola ache, ""nijossho maa baba jodi tor bipode thake, tahole shanti nai!"" tui nijer barir bipod nijossho hate anish",0
QURAN er potibhad na niye hindu muslim bhedabed dekhay hayre banglar media,0
QURAN k opoman korse eta niye karo mathabatha nai ar hinduder ghorbari poraia dise eta akhn sobar chulkani uitta gese,0
r chesra khetab prapto borishailla r ki ,0
raat e cha ar gan mane ekdom relax time ,1
rabbani r kache goya mara khaini emon kono netri nei.,0
rabi thakurer ganer ek na dekha akhyan amarmonmaneyna kemon laglo apnader,1
rabindra sangeet gane pura jibon er bhobishyot dekhte paoya jay gan shune mone shanti bojay shikar thake kichu! ,1
rafiq bhai kemne hoga mar khailo.,0
rakib bhai  onek shundor,1
ram thap khabi.,0
randy magir pola.,0
ranu mondol er meye ke dhore thaprano dorkar ,0
rate to bhaloi ache. taito aunty ke kore moja pabe tumi.,0
rate to kom ache. kintu aunty ke kore ki moja pabe tumi.,0
rate valo khelo tumi!,0
"reality jodio onek painful, kintu cinema amader shukher ekta imaginary jagah. ",1
rendian malu ra ja start korse kisu din por sob mondir emnei vainga jabe ,0
rendian malu tor mare chudi,0
"respect girls, kharap kotha boleni, bokachodas hatred felas ",0
restaurant er cheyeo bhalo mone hocche,1
rickshaw chalaleo ei polader mto mute mute poribesh dhushon kortese na,0
right noakhailla ra onek kharp hoy!,0
rohingara jodi muslim na hoye varotio malu hoto etokkhon jamai ador kore shorkar maluder deshe niye ashto,0
roja rakhi nai re halarput gaillate parmu chudirput shalarput ghotirput ah! shanti lagtise.,0
roni koybar lagaisos tui sanai ke bol,0
rubel khankir polar gushtire chuda dicche.,0
rumi ke tarek putki maramari kore shesh kore dicche,0
rumik ke tarek khaia shesh kore dicche.,0
"rumin farhana ke dhonnobad, press sochib ke evabe nastanabud korar jonno. ei press sochib pore ache awami league niye kintu desh gochhanor kajer kaj kono kichui korche na ei sorker, nijeder berthota dhakte o moulobad ke prosroi ditei boddoporikrom mone hocche ei sorker. jonogoner jonno temon kaj korche na, aaj abar jwalani telear dam barbe modhyorat theke.",0
sabash joutik kotha bolechen bhai,1
sabbas bhai,1
"sala malauna khankir pola, chodur jaat",0
salman tip diye dudh khabe ekhn! ,0
salute sir!,1
"sangbadik era porimonir pachay mukh dia thake kokhon porimoni pad dey, paad dile oitaro breaking news korbe..  ",0
"saradin tabiz paruker kache putki bhara diye taka uparjon kore, din sheshe khabar samne niye shostir nishash fellen",0
"satellite akashe na diye, post datar pachay suppository hishebe dhukano uchit chilo",0
school-college theke ber hoye gelish! feel kemon,1
se din dekha hoyechilo-,1
season 2 dekhte chai,1
segs!! uffffff!! ,0
ajke tor ekta big achievement day!,1
"sex addicted sick generation ekta, taderke ar ki e ba bolba! ",0
shahosh thakle rajpothe ay ,0
shakib er pura shorir dhakche. meye ta ke lengta rakhche keno kapor nai meye ta ki gorib,0
shakil bhai ke dhonnobad.,1
shala barishailla dendi khor launch er putki dhoira dhakay aisos,0
shala maal ta re chudle moja paibo.,0
shala malur bacchara pakistanider shathe chudate na peye khali niriho Bangladeshi der marte pare. Bangladesh er sorkar er uchit bharot ke boycot kora.,0
shala tor nunu nai tui ki katbi ,0
shala vodai naki tui haramjada. shuorer baccha. bhalo ho bujli. abal sala beyadob ekta.,0
"shalar hati, oi magir kache joto paris chod.",0
shalar muke pocha durgondho.,0
shalar put shala.,0
shalare khash khanki diye chuden! ,0
"shami change naki bou, dhon bou theke kno ",0
shanti r thikana shobar alada hoy. ,1
shanti thakle shob kichu valo lage. ,1
shantir ekmatro dhormo Islam manob joti r somadhan,1
shantir thikana Islam,1
shara bangla khobor de. nastik murtad kobor de.,0
sharadin khali khai khai kore ,1
shawa ekta tui ,0
shawar nati.,0
shb pic a ai baler hijra,0
she defendar hisebe khubi valo,1
"shei hoiche,bastobta fact ",1
shei hoyeche bhai,1
shei hoyeche boss,1
shei leveler ekta natok,1
sheshe tumi dada chude chile tahole. comment e janaben. besh koyekta maal. darun.,0
shesher ganta shei,1
"shib durga ke chudleo oy silo hijra, madarchod! ",0
shibli sadik shottikar orthei onek bhalo manush,1
shikkhok der proti ei adorsho soho boro shubhechha! ami onek gorbito.,1
shikkhok der valo basha prithibite asol.,1
shob bainchod ra ekshathe ,0
"shob bedi baro bhatari hoy na bhai, kichu kichu 100 bhatari o hoy.",0
shob bokachoda gula ke ekshathe dekhe bhalo laglo!,0
shob chagoler leda dekhi ekshathe ,0
shob meye 12 bhatari hoyna. kew kew 100 bhatari o hoy,0
shob pagol chagol ek pale hajir ,0
shob somossa r ekta na ekta somadhan ache. ,1
shobai bolo srabontir dudh duto hebby lagche.,0
shobai dudh pete ase purusher shamne.,0
shobai dudh vasaia ase tv r shamne.,0
shobai milei onek boro ekta shokti. ,1
shobar anondo dekhe valo laglo,1
shobar bondhutto emon howa ucit,1
shobar moddhei kichu na kichu special ache. ,1
shokto dhon boshonter rong,0
shokto dhon bosonter rong.,0
shonar baal diye news channel banaise,0
"shopno dekhte kharap na, ekdin fulfill hobe inshALLAH ",1
shotti apu tomar prosongsha kora boro day ALLAH tomake nije hathe baniyechen,1
shotti kotha! ager diner manush onek shustho chilo karon tara e shob regularly kheto,1
"shotti kotha, ai duniya te hedayet ar tar upor tika thaka, seta asol niyamat.",1
shotti mon chuye jay,1
"shotti, raat ta to ekta dream er moto! sob kichu jeno ek sathe milchhilo!",1
shudhu bolbo tore putki marbar mon chay.,0
shudhu khankire dekhle bhalo pao.,0
shudhumatro robi prepaid userder jonno offer,1
shun tui ki baal da falaicho jibone bokachoda ami dekhchi,0
"shundor design r gohona chilo, kintu eki model diye bar-bar ghorar kaj ki",1
shune khub valo laglo,1
shune valo laglo,1
shuru hoyeche propaganda. amader desher media guli nongra beshi.,0
shutki putki ar mutki bal! haoar pola! ,0
shutki r mto mukh! kha tui shutki! chikon kala choda,0
shuvo kamona roil sir,1
shuvo kamona roil sokol chatro somaj ke,1
shuvo kamona roilo sir er jonno,1
shuvo kamona sir ke,1
shuvokamona priyo,1
shuvokamone roilo sir,1
shuyorer baccha jokhon 6 takar name 8 taka chay.,0
shuyorer baccha.,0
shuyorer jaat.,0
sister bokachoda sister know your level at first,0
smartphone asche ar shob shesh! erokom chaile to ekdin maa-baba o kichu bolte parbe na,1
"smriti rekhe gelam, hothat ek shomoy abar dekha hobe.",1
snow fall peyei mone holo jobone ar kono shadh nei sob shadh puron hoye geche ar amader room theke janala diye je pahader drishtota dekha jachhilo shei sathe purno chand sholokola purno hoye gelo,1
sob kotha thik bhai,1
"sobai jante chai, ekhon plan ki ",1
"sobai milay jodi bhalo kaj kore, tahole ek din shobar bhalo hobe. ",1
"sobai milay jodi bhalo kaj kore, tahole ek din shobar bhalo hobe. ",1
sobar shathe valo byabohar kora dorkar. ,1
sojoni sojoni radhika lo... dekh obohu chahiya !,1
"somosto hindu desh theke ber kore dilei sob somossher somadhan hoye jabe , tara india jak!",0
somoy tvr malik je hinduder bongshodhor eta shobai jane,0
sonika naki chuda khete pao amra jani he.,0
sonika tumi chuda khete paro amra bolle dhosh.,0
"sopno dekho, kaje lagao. ",1
sor magini,0
sorkar re asole bolode chude tai emon akam ku kam shuru korche.,0
sorkar re ekhon bolode chude felche emon akam ku uddesho prokash korche.,0
sothik nirdeshona dewar etai shomoy,1
"sotti, ek cup gorom cha, ekta bhalo gaan, r kichu chhoto khushiei to life! ",1
sotyer joy,1
sotyer joy chirodin,1
sotyer joy hok,1
sotyer joy holo,1
sotyer joy hoy derite holeo etai sotyo,1
sotyer joy hoyeche,1
sotyer joy joy joy,1
sotyer joy sob shomoy i hoyechhilo hoy ebong hobe,1
sotyer joy sunischit,1
sotyo kokhono gopon thake na sesh porjonto sotyer joy holo,1
sotyo kokhono lukiye thake na sotyer joy ho,1
sotyo sob shomoy kothin hoy,1
sotyo sob shomoy shundor hoy,1
sraboni shyalake chudbo or ma ke kukur diye chudabo.,0
srabontir aro dui tinbar biye dewa jay. serokom lagche matro 16- e pa dilo srabonti. serokom dance.,0
"sreelekha jodi nengto hon ba kapor khule dekhan, tahole ki obisshassho kichu dekha jabe ba alada kichu dekha jabe.",0
sreelekha jodi nengto hon ba serokom kichu dekhan tahole beparta obisshassho na.,0
stop asking who is still listening we always listen! ,1
subhanALLAH! ei purono nashid er itihash shune onek valo laglo,1
